match_date,competition_name,home_team,home_score,home_elo,home_tries,home_conversion,home_penalty,home_kick,away_team,away_score,away_elo,away_tries,away_conversion,away_penalty,away_kick
2003-03-16,Premiership Rugby,Saracens,31,2447,4,4,1,0,Wasps,42,2642,6,6,0,0
2003-03-21,Super Rugby Pacific,Blues,62,2584,8,8,2,0,Queensland Reds,20,2516,2,2,2,0
2003-03-21,Super Rugby Pacific,New South Wales Waratahs,29,2531,2,2,5,0,Stormers,39,2499,3,3,6,0
2003-03-21,Super Rugby Pacific,Sharks,19,2454,1,1,4,0,Highlanders,23,2583,2,2,3,0
2003-03-21,Rugby World Cup Qualifier,Tonga,119,2506,17,17,0,0,Korea,0,2466,0,0,0,0
2003-03-22,Six Nations Championship,Wales,24,2455,3,3,1,0,Ireland,25,2626,1,1,6,0
2003-03-22,Six Nations Championship,England,40,2750,4,4,4,0,Scotland,9,2521,0,0,3,0
2003-03-22,Super Rugby Pacific,Brumbies,64,2629,7,7,5,0,Bulls,26,2277,2,2,4,0
2003-03-22,Super Rugby Pacific,Cats,21,2409,3,3,0,0,Hurricanes,28,2477,4,4,0,0
2003-03-23,Six Nations Championship,Italy,27,2419,3,3,2,0,France,53,2685,5,5,6,0
2003-03-28,Super Rugby Pacific,Blues,41,2600,5,5,2,0,Brumbies,15,2613,0,0,5,0
2003-03-28,FIRA Championship D2,Poland,15,2572,0,0,5,0,Germany,37,2513,4,4,3,0
2003-03-29,Six Nations Championship,France,33,2691,3,3,4,0,Wales,5,2449,1,0,0,0
2003-03-29,Six Nations Championship,Scotland,33,2528,3,3,4,0,Italy,25,2412,1,1,6,0
2003-03-29,Super Rugby Pacific,Highlanders,16,2575,1,1,3,0,Crusaders,17,2687,2,2,1,0
2003-03-29,Super Rugby Pacific,Hurricanes,24,2486,3,3,1,0,Chiefs,14,2449,2,2,0,0
2003-03-29,Super Rugby Pacific,New South Wales Waratahs,23,2521,2,2,3,0,Queensland Reds,35,2526,5,5,0,0
